GISJOIN,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,geometry,flpn_area,perc_flpn_area,cbd_dist,cbd_dist_norm,creek_name,dist_to_water,water_dist_norm,income_cat,house_age,total_livable_area,stories_n,number_of_bathrooms,market_value,sale_price,counts
G42010100256001,42,101,025600,1,421010256001,Block Group 1,G5030,S,340594.0,0.0,+40.0687282,-075.1866107,2439.44966943,340594.085788,"POLYGON ((2687190.094387305 278408.4580931647, 2686862.1797220204 277976.53769380006, 2686483.4393266956 277491.395357557, 2686109.3717576982 276999.10601233324, 2685957.0220161867 277115.6744249008, 2685849.026715065 277189.799432985, 2685744.2799981204 277219.5578506266, 2685668.9999599727 277237.41639652936, 2685570.2351619303 277244.3899211389, 2685523.380966766 277257.2429537943, 2685478.627736929 277274.89490936376, 2685443.323239202 277295.00772077177, 2685209.6331677907 277474.4551062669, 2684740.0561762634 277832.1986463753, 2685012.7069503386 278191.7860007397, 2685148.30368661 278372.470715894, 2684975.7340099113 278501.21410130576, 2684950.3550433707 278526.7175761286, 2684919.6659938027 278561.54249287443, 2684897.5281693307 278591.1486622619, 2684862.347228254 278674.6778619088, 2684838.67866936 278718.4528112561, 2684830.734755494 278731.70681012206, 2684804.5327589307 278766.2974393045, 2684778.0038184645 278792.8609437216, 2684724.681588201 278835.77620216465, 2684710.1452623964 278854.3058075162, 2684715.0436285455 278859.18538526975, 2684983.397261421 279134.827542049, 2685389.2890066397 279668.4763121327, 2685491.2922945176 279597.82017333835, 2685611.0417691264 279513.83117576817, 2685703.022558596 279450.90247940744, 2685815.6105739875 279372.53710147284, 2685874.808047189 279329.7951011622, 2686016.619353669 279228.5906594159, 2686101.824539532 279167.65335493034, 2686360.3619958814 278990.394554032, 2686572.672650604 278843.1363078618, 2686647.8774341713 278789.19918174675, 2686722.945260204 278739.9954790379, 2686772.4014292657 278704.98964255635, 2686863.158804319 278636.1985594132, 2686934.933884541 278584.71353063965, 2686972.0220726873 278561.00992179726, 2687056.4458745974 278498.2308047651, 2687190.094387305 278408.4580931647))",0.0,0.0,37882.66989023623,0.48675938063047597,Cresheim Creek,93.38139091007123,0.992352280999042,3,0.152353193391536,0.03905554618415106,0.37254901960784315,0.25546448087431695,552811.475409836,237406.15300546447,366
G42010100256002,42,101,025600,2,421010256002,Block Group 2,G5030,S,189722.0,0.0,+40.0635750,-075.1895962,1892.66243578,189721.972044,"POLYGON ((2686109.3717576982 276999.10601233324, 2685756.4556350294 276549.3467004244, 2685667.890858127 276436.3515906647, 2685562.0531968647 276300.9891815305, 2685417.520784199 276109.47446642676, 2685334.1526048738 276000.6399907811, 2685241.587293552 275880.6059896941, 2684931.7740798104 275478.7582169834, 2684679.5998623814 275155.4811068833, 2684610.333491782 275255.51592962944, 2684566.2014155514 275328.94617655885, 2684438.2032354814 275542.4413801192, 2684420.540338651 275572.17764938937, 2684139.39811211 276045.81831910997, 2684166.428064961 276098.71559138875, 2684544.264476587 276598.00780294486, 2684703.2222681562 276813.62362322665, 2684756.168731314 276880.3925713936, 2684805.5728493915 276943.77916660777, 2685209.6331677907 277474.4551062669, 2685443.323239202 277295.00772077177, 2685478.627736929 277274.89490936376, 2685523.380966766 277257.2429537943, 2685570.2351619303 277244.3899211389, 2685668.9999599727 277237.41639652936, 2685744.2799981204 277219.5578506266, 2685849.026715065 277189.799432985, 2685957.0220161867 277115.6744249008, 2686109.3717576982 276999.10601233324))",0.0,0.0,36397.97506551361,0.5068742694074089,Cresheim Creek,1247.2003478682152,0.8978571886171758,1,0.11519198664440734,0.013044874620587161,0.0,0.0,161400.0,90000.0,2
G42010100256002,42,101,025600,2,421010256002,Block Group 2,G5030,S,189722.0,0.0,+40.0635750,-075.1895962,1892.66243578,189721.972044,"POLYGON ((2686109.3717576982 276999.10601233324, 2685756.4556350294 276549.3467004244, 2685667.890858127 276436.3515906647, 2685562.0531968647 276300.9891815305, 2685417.520784199 276109.47446642676, 2685334.1526048738 276000.6399907811, 2685241.587293552 275880.6059896941, 2684931.7740798104 275478.7582169834, 2684679.5998623814 275155.4811068833, 2684610.333491782 275255.51592962944, 2684566.2014155514 275328.94617655885, 2684438.2032354814 275542.4413801192, 2684420.540338651 275572.17764938937, 2684139.39811211 276045.81831910997, 2684166.428064961 276098.71559138875, 2684544.264476587 276598.00780294486, 2684703.2222681562 276813.62362322665, 2684756.168731314 276880.3925713936, 2684805.5728493915 276943.77916660777, 2685209.6331677907 277474.4551062669, 2685443.323239202 277295.00772077177, 2685478.627736929 277274.89490936376, 2685523.380966766 277257.2429537943, 2685570.2351619303 277244.3899211389, 2685668.9999599727 277237.41639652936, 2685744.2799981204 277219.5578506266, 2685849.026715065 277189.799432985, 2685957.0220161867 277115.6744249008, 2686109.3717576982 276999.10601233324))",0.0,0.0,36397.97506551361,0.5068742694074089,Cresheim Creek,1247.2003478682152,0.8978571886171758,2,0.15063567484268653,0.01859692090677368,0.2579185520361991,0.1111111111111111,232846.15384615384,56915.846153846156,13
G42010100256002,42,101,025600,2,421010256002,Block Group 2,G5030,S,189722.0,0.0,+40.0635750,-075.1895962,1892.66243578,189721.972044,"POLYGON ((2686109.3717576982 276999.10601233324, 2685756.4556350294 276549.3467004244, 2685667.890858127 276436.3515906647, 2685562.0531968647 276300.9891815305, 2685417.520784199 276109.47446642676, 2685334.1526048738 276000.6399907811, 2685241.587293552 275880.6059896941, 2684931.7740798104 275478.7582169834, 2684679.5998623814 275155.4811068833, 2684610.333491782 275255.51592962944, 2684566.2014155514 275328.94617655885, 2684438.2032354814 275542.4413801192, 2684420.540338651 275572.17764938937, 2684139.39811211 276045.81831910997, 2684166.428064961 276098.71559138875, 2684544.264476587 276598.00780294486, 2684703.2222681562 276813.62362322665, 2684756.168731314 276880.3925713936, 2684805.5728493915 276943.77916660777, 2685209.6331677907 277474.4551062669, 2685443.323239202 277295.00772077177, 2685478.627736929 277274.89490936376, 2685523.380966766 277257.2429537943, 2685570.2351619303 277244.3899211389, 2685668.9999599727 277237.41639652936, 2685744.2799981204 277219.5578506266, 2685849.026715065 277189.799432985, 2685957.0220161867 277115.6744249008, 2686109.3717576982 276999.10601233324))",0.0,0.0,36397.97506551361,0.5068742694074089,Cresheim Creek,1247.2003478682152,0.8978571886171758,3,0.1609239442787159,0.03388581720172799,0.41122897246330226,0.23901098901098902,463148.087431694,208824.8087431694,183
G42010100256003,42,101,025600,3,421010256003,Block Group 3,G5030,S,334969.0,1982.0,+40.0694469,-075.1907962,3097.57094487,336951.051061,"POLYGON ((2685272.2643814576 279755.09684903815, 2685389.2890066397 279668.4763121327, 2684983.397261421 279134.827542049, 2684715.0436285455 278859.18538526975, 2684710.1452623964 278854.3058075162, 2684724.681588201 278835.77620216465, 2684778.0038184645 278792.8609437216, 2684804.5327589307 278766.2974393045, 2684830.734755494 278731.70681012206, 2684838.67866936 278718.4528112561, 2684862.347228254 278674.6778619088, 2684897.5281693307 278591.1486622619, 2684919.6659938027 278561.54249287443, 2684950.3550433707 278526.7175761286, 2684975.7340099113 278501.21410130576, 2685148.30368661 278372.470715894, 2685012.7069503386 278191.7860007397, 2684740.0561762634 277832.1986463753, 2685209.6331677907 277474.4551062669, 2684805.5728493915 276943.77916660777, 2684756.168731314 276880.3925713936, 2684703.2222681562 276813.62362322665, 2684544.264476587 276598.00780294486, 2684166.428064961 276098.71559138875, 2684139.39811211 276045.81831910997, 2683778.149682936 276636.6776144064, 2683767.962528492 276659.7067667158, 2683727.196280308 276704.08095630934, 2683499.851570844 276848.3775838234, 2683319.7138554594 276938.6475140702, 2683234.54106716 277017.8169972486, 2683193.8997423626 277174.07781906246, 2683146.958233883 277354.5734150408, 2683144.7469506627 277363.25616067287, 2683120.112702528 277459.84796906397, 2683155.0536362133 277481.26738567103, 2683199.2596352873 277521.1761511979, 2683243.70887625 277572.02514925145, 2683305.647286865 277647.4334400972, 2683356.2616004543 277698.09658993664, 2683464.9627165277 277773.40047137, 2683538.2275073924 277844.3990392357, 2683668.8795723403 278012.5414154022, 2683779.359433886 278152.03892868134, 2683837.0450770482 278209.83233154385, 2683901.292262357 278282.75786550844, 2683979.0050259936 278383.770565204, 2684080.750693319 278515.36325190763, 2684167.8371684654 278640.70122447493, 2684269.1538577797 278796.6995834764, 2684355.2094878657 278967.1979400194, 2684408.2738830717 279078.06686253735, 2684419.807425814 279095.52961503516, 2684473.082307351 279179.8006979407, 2684674.6549198357 279460.4285416012, 2684756.2824096195 279551.7177235337, 2684849.3260020716 279645.1600761089, 2684958.039389094 279767.84799006797, 2685060.217041721 279903.4667659425, 2685156.634430082 279832.28289608157, 2685189.7499480587 279810.28393558745, 2685272.2643814576 279755.09684903815))",0.0,0.0,37394.27892083861,0.49337618151474316,Cresheim Creek,0.0,1.0,1,,,,,,,0
G42010100256003,42,101,025600,3,421010256003,Block Group 3,G5030,S,334969.0,1982.0,+40.0694469,-075.1907962,3097.57094487,336951.051061,"POLYGON ((2685272.2643814576 279755.09684903815, 2685389.2890066397 279668.4763121327, 2684983.397261421 279134.827542049, 2684715.0436285455 278859.18538526975, 2684710.1452623964 278854.3058075162, 2684724.681588201 278835.77620216465, 2684778.0038184645 278792.8609437216, 2684804.5327589307 278766.2974393045, 2684830.734755494 278731.70681012206, 2684838.67866936 278718.4528112561, 2684862.347228254 278674.6778619088, 2684897.5281693307 278591.1486622619, 2684919.6659938027 278561.54249287443, 2684950.3550433707 278526.7175761286, 2684975.7340099113 278501.21410130576, 2685148.30368661 278372.470715894, 2685012.7069503386 278191.7860007397, 2684740.0561762634 277832.1986463753, 2685209.6331677907 277474.4551062669, 2684805.5728493915 276943.77916660777, 2684756.168731314 276880.3925713936, 2684703.2222681562 276813.62362322665, 2684544.264476587 276598.00780294486, 2684166.428064961 276098.71559138875, 2684139.39811211 276045.81831910997, 2683778.149682936 276636.6776144064, 2683767.962528492 276659.7067667158, 2683727.196280308 276704.08095630934, 2683499.851570844 276848.3775838234, 2683319.7138554594 276938.6475140702, 2683234.54106716 277017.8169972486, 2683193.8997423626 277174.07781906246, 2683146.958233883 277354.5734150408, 2683144.7469506627 277363.25616067287, 2683120.112702528 277459.84796906397, 2683155.0536362133 277481.26738567103, 2683199.2596352873 277521.1761511979, 2683243.70887625 277572.02514925145, 2683305.647286865 277647.4334400972, 2683356.2616004543 277698.09658993664, 2683464.9627165277 277773.40047137, 2683538.2275073924 277844.3990392357, 2683668.8795723403 278012.5414154022, 2683779.359433886 278152.03892868134, 2683837.0450770482 278209.83233154385, 2683901.292262357 278282.75786550844, 2683979.0050259936 278383.770565204, 2684080.750693319 278515.36325190763, 2684167.8371684654 278640.70122447493, 2684269.1538577797 278796.6995834764, 2684355.2094878657 278967.1979400194, 2684408.2738830717 279078.06686253735, 2684419.807425814 279095.52961503516, 2684473.082307351 279179.8006979407, 2684674.6549198357 279460.4285416012, 2684756.2824096195 279551.7177235337, 2684849.3260020716 279645.1600761089, 2684958.039389094 279767.84799006797, 2685060.217041721 279903.4667659425, 2685156.634430082 279832.28289608157, 2685189.7499480587 279810.28393558745, 2685272.2643814576 279755.09684903815))",0.0,0.0,37394.27892083861,0.49337618151474316,Cresheim Creek,0.0,1.0,2,0.1652754590984975,0.024691746747440145,0.37254901960784315,0.16666666666666666,237100.0,1.0,1
G42010100256003,42,101,025600,3,421010256003,Block Group 3,G5030,S,334969.0,1982.0,+40.0694469,-075.1907962,3097.57094487,336951.051061,"POLYGON ((2685272.2643814576 279755.09684903815, 2685389.2890066397 279668.4763121327, 2684983.397261421 279134.827542049, 2684715.0436285455 278859.18538526975, 2684710.1452623964 278854.3058075162, 2684724.681588201 278835.77620216465, 2684778.0038184645 278792.8609437216, 2684804.5327589307 278766.2974393045, 2684830.734755494 278731.70681012206, 2684838.67866936 278718.4528112561, 2684862.347228254 278674.6778619088, 2684897.5281693307 278591.1486622619, 2684919.6659938027 278561.54249287443, 2684950.3550433707 278526.7175761286, 2684975.7340099113 278501.21410130576, 2685148.30368661 278372.470715894, 2685012.7069503386 278191.7860007397, 2684740.0561762634 277832.1986463753, 2685209.6331677907 277474.4551062669, 2684805.5728493915 276943.77916660777, 2684756.168731314 276880.3925713936, 2684703.2222681562 276813.62362322665, 2684544.264476587 276598.00780294486, 2684166.428064961 276098.71559138875, 2684139.39811211 276045.81831910997, 2683778.149682936 276636.6776144064, 2683767.962528492 276659.7067667158, 2683727.196280308 276704.08095630934, 2683499.851570844 276848.3775838234, 2683319.7138554594 276938.6475140702, 2683234.54106716 277017.8169972486, 2683193.8997423626 277174.07781906246, 2683146.958233883 277354.5734150408, 2683144.7469506627 277363.25616067287, 2683120.112702528 277459.84796906397, 2683155.0536362133 277481.26738567103, 2683199.2596352873 277521.1761511979, 2683243.70887625 277572.02514925145, 2683305.647286865 277647.4334400972, 2683356.2616004543 277698.09658993664, 2683464.9627165277 277773.40047137, 2683538.2275073924 277844.3990392357, 2683668.8795723403 278012.5414154022, 2683779.359433886 278152.03892868134, 2683837.0450770482 278209.83233154385, 2683901.292262357 278282.75786550844, 2683979.0050259936 278383.770565204, 2684080.750693319 278515.36325190763, 2684167.8371684654 278640.70122447493, 2684269.1538577797 278796.6995834764, 2684355.2094878657 278967.1979400194, 2684408.2738830717 279078.06686253735, 2684419.807425814 279095.52961503516, 2684473.082307351 279179.8006979407, 2684674.6549198357 279460.4285416012, 2684756.2824096195 279551.7177235337, 2684849.3260020716 279645.1600761089, 2684958.039389094 279767.84799006797, 2685060.217041721 279903.4667659425, 2685156.634430082 279832.28289608157, 2685189.7499480587 279810.28393558745, 2685272.2643814576 279755.09684903815))",0.0,0.0,37394.27892083861,0.49337618151474316,Cresheim Creek,0.0,1.0,3,0.16011585304366338,0.03690987773838884,0.36129753914988816,0.19491525423728814,479897.6510067114,213016.9597315436,298
G42010100257001,42,101,025700,1,421010257001,Block Group 1,G5030,S,358597.0,0.0,+40.0738157,-075.1944580,2694.95093186,358596.423702,"POLYGON ((2685060.217041721 279903.4667659425, 2684958.039389094 279767.84799006797, 2684849.3260020716 279645.1600761089, 2684756.2824096195 279551.7177235337, 2684674.6549198357 279460.4285416012, 2684473.082307351 279179.8006979407, 2684419.807425814 279095.52961503516, 2684408.2738830717 279078.06686253735, 2684355.2094878657 278967.1979400194, 2684269.1538577797 278796.6995834764, 2684167.8371684654 278640.70122447493, 2684080.750693319 278515.36325190763, 2683979.0050259936 278383.770565204, 2683956.023851778 278423.1929305476, 2683906.340993151 278504.84581052116, 2683855.2698269566 278586.0940140734, 2683751.761530168 278747.45807412226, 2683699.583161229 278828.30995225935, 2683648.5131637757 278909.55868882063, 2683641.7522618864 278920.6604135237, 2683598.0035718186 278990.82373406604, 2683498.3411436006 279154.85095409217, 2683399.5087919584 279319.26692693675, 2683350.9904708383 279399.4970376755, 2683249.3416866288 279564.56091948145, 2683198.2746293275 279645.8102981498, 2683143.9036637885 279725.14235689596, 2683086.540376145 279801.4725734275, 2683021.772102177 279872.48651522497, 2682950.7696523173 279936.3957477404, 2682877.85194301 279998.7922976416, 2682807.3679562695 280064.17477776104, 2682733.9817240494 280133.1182537316, 2682666.163260709 280193.4761378179, 2682590.792532188 280253.61570054205, 2682515.4535633884 280312.66354785016, 2682443.9052218567 280376.1936940193, 2682380.2376533574 280447.9700618726, 2682310.585099142 280513.74279823806, 2682238.2194169085 280576.5210399177, 2682168.826114282 280643.03042397235, 2682156.687935983 280656.1637626501, 2682186.1449552756 280770.3543767696, 2682171.8910193644 280788.8932521564, 2682176.0787922214 280808.6934371358, 2682189.6338123176 280824.02699149464, 2682211.707266366 280835.2336206162, 2682233.65361661 280899.2794898734, 2682381.737410585 281151.73923469876, 2682660.24158183 281589.45967057755, 2682998.0975531554 281349.22616674507, 2683135.499386768 281254.43847957946, 2683405.7893850394 281066.1921412141, 2684334.9196470394 280421.0771679092, 2684594.877601943 280232.54426648363, 2685060.217041721 279903.4667659425))",0.0,0.0,39699.845412756564,0.46213998887736585,Cresheim Creek,121.40537097942648,0.9900571821279481,1,,,,,,,0
G42010100257001,42,101,025700,1,421010257001,Block Group 1,G5030,S,358597.0,0.0,+40.0738157,-075.1944580,2694.95093186,358596.423702,"POLYGON ((2685060.217041721 279903.4667659425, 2684958.039389094 279767.84799006797, 2684849.3260020716 279645.1600761089, 2684756.2824096195 279551.7177235337, 2684674.6549198357 279460.4285416012, 2684473.082307351 279179.8006979407, 2684419.807425814 279095.52961503516, 2684408.2738830717 279078.06686253735, 2684355.2094878657 278967.1979400194, 2684269.1538577797 278796.6995834764, 2684167.8371684654 278640.70122447493, 2684080.750693319 278515.36325190763, 2683979.0050259936 278383.770565204, 2683956.023851778 278423.1929305476, 2683906.340993151 278504.84581052116, 2683855.2698269566 278586.0940140734, 2683751.761530168 278747.45807412226, 2683699.583161229 278828.30995225935, 2683648.5131637757 278909.55868882063, 2683641.7522618864 278920.6604135237, 2683598.0035718186 278990.82373406604, 2683498.3411436006 279154.85095409217, 2683399.5087919584 279319.26692693675, 2683350.9904708383 279399.4970376755, 2683249.3416866288 279564.56091948145, 2683198.2746293275 279645.8102981498, 2683143.9036637885 279725.14235689596, 2683086.540376145 279801.4725734275, 2683021.772102177 279872.48651522497, 2682950.7696523173 279936.3957477404, 2682877.85194301 279998.7922976416, 2682807.3679562695 280064.17477776104, 2682733.9817240494 280133.1182537316, 2682666.163260709 280193.4761378179, 2682590.792532188 280253.61570054205, 2682515.4535633884 280312.66354785016, 2682443.9052218567 280376.1936940193, 2682380.2376533574 280447.9700618726, 2682310.585099142 280513.74279823806, 2682238.2194169085 280576.5210399177, 2682168.826114282 280643.03042397235, 2682156.687935983 280656.1637626501, 2682186.1449552756 280770.3543767696, 2682171.8910193644 280788.8932521564, 2682176.0787922214 280808.6934371358, 2682189.6338123176 280824.02699149464, 2682211.707266366 280835.2336206162, 2682233.65361661 280899.2794898734, 2682381.737410585 281151.73923469876, 2682660.24158183 281589.45967057755, 2682998.0975531554 281349.22616674507, 2683135.499386768 281254.43847957946, 2683405.7893850394 281066.1921412141, 2684334.9196470394 280421.0771679092, 2684594.877601943 280232.54426648363, 2685060.217041721 279903.4667659425))",0.0,0.0,39699.845412756564,0.46213998887736585,Cresheim Creek,121.40537097942648,0.9900571821279481,2,0.09015025041736227,0.018270263164523484,0.034926470588235295,0.020833333333333332,236800.0,125247.6875,32
G42010100257001,42,101,025700,1,421010257001,Block Group 1,G5030,S,358597.0,0.0,+40.0738157,-075.1944580,2694.95093186,358596.423702,"POLYGON ((2685060.217041721 279903.4667659425, 2684958.039389094 279767.84799006797, 2684849.3260020716 279645.1600761089, 2684756.2824096195 279551.7177235337, 2684674.6549198357 279460.4285416012, 2684473.082307351 279179.8006979407, 2684419.807425814 279095.52961503516, 2684408.2738830717 279078.06686253735, 2684355.2094878657 278967.1979400194, 2684269.1538577797 278796.6995834764, 2684167.8371684654 278640.70122447493, 2684080.750693319 278515.36325190763, 2683979.0050259936 278383.770565204, 2683956.023851778 278423.1929305476, 2683906.340993151 278504.84581052116, 2683855.2698269566 278586.0940140734, 2683751.761530168 278747.45807412226, 2683699.583161229 278828.30995225935, 2683648.5131637757 278909.55868882063, 2683641.7522618864 278920.6604135237, 2683598.0035718186 278990.82373406604, 2683498.3411436006 279154.85095409217, 2683399.5087919584 279319.26692693675, 2683350.9904708383 279399.4970376755, 2683249.3416866288 279564.56091948145, 2683198.2746293275 279645.8102981498, 2683143.9036637885 279725.14235689596, 2683086.540376145 279801.4725734275, 2683021.772102177 279872.48651522497, 2682950.7696523173 279936.3957477404, 2682877.85194301 279998.7922976416, 2682807.3679562695 280064.17477776104, 2682733.9817240494 280133.1182537316, 2682666.163260709 280193.4761378179, 2682590.792532188 280253.61570054205, 2682515.4535633884 280312.66354785016, 2682443.9052218567 280376.1936940193, 2682380.2376533574 280447.9700618726, 2682310.585099142 280513.74279823806, 2682238.2194169085 280576.5210399177, 2682168.826114282 280643.03042397235, 2682156.687935983 280656.1637626501, 2682186.1449552756 280770.3543767696, 2682171.8910193644 280788.8932521564, 2682176.0787922214 280808.6934371358, 2682189.6338123176 280824.02699149464, 2682211.707266366 280835.2336206162, 2682233.65361661 280899.2794898734, 2682381.737410585 281151.73923469876, 2682660.24158183 281589.45967057755, 2682998.0975531554 281349.22616674507, 2683135.499386768 281254.43847957946, 2683405.7893850394 281066.1921412141, 2684334.9196470394 280421.0771679092, 2684594.877601943 280232.54426648363, 2685060.217041721 279903.4667659425))",0.0,0.0,39699.845412756564,0.46213998887736585,Cresheim Creek,121.40537097942648,0.9900571821279481,3,0.11448710814320164,0.034976720949466196,0.12418300653594769,0.18333333333333335,588320.0,250736.5172413793,90
