GISJOIN,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,geometry,flpn_area,perc_flpn_area,cbd_dist_x,creek_name,dist_to_water_x,income_cat,dist_to_water_y,cbd_dist_y,house_age,total_livable_area,stories_n,number_of_bathrooms,market_value,sale_price,water_dist_norm,cbd_dist_norm,counts
G42010100172022,42,101,017202,2,421010172022,Block Group 2,G5030,S,80095.0,0.0,+39.9984674,-075.1751387,1408.9078817,80095.5139288,"POLYGON ((2690143.0111599774 252083.69175636716, 2690010.96383512 252103.89201394413, 2689695.2440387607 252146.06898840153, 2689722.4640069935 252327.62406908406, 2689738.4254320557 252453.09118376338, 2689754.6454158383 252579.29501989388, 2689776.6158560184 252729.35517985345, 2689586.56401894 252758.7990680285, 2689379.0712534497 252780.81212639937, 2689222.6005544807 252802.49129932708, 2689198.67974704 252805.80287577052, 2689085.4957213365 252823.27771299638, 2688918.7384344283 252842.10788509736, 2689244.2453691037 253136.9464404711, 2689447.0041026077 253334.9149783319, 2689547.7791779637 253319.9952090921, 2689668.897938941 253299.474189502, 2689735.3170706173 253290.11347895238, 2689850.533826833 253270.14983145066, 2689915.985456653 253265.13478290886, 2690006.8537796475 253253.57265467782, 2690142.5356175518 253233.47848437648, 2690192.8648872487 253228.02266040535, 2690296.753439999 253212.10389235913, 2690223.1568824574 252670.2239408358, 2690202.1245424454 252516.9107506603, 2690184.3326202356 252387.01606189206, 2690166.4875768647 252258.94224843895, 2690143.0111599774 252083.69175636716))",0.0,0.0,12694.186067800003,Schuylkill River,3771.0206994999266,3,,,0.4668450333756982,1.4689297074732437,1.9643974929137231,1.9645469058487923,373166.6666666666,,0.0834199762248331,0.06828691361435148,0
G42010100172023,42,101,017202,3,421010172023,Block Group 3,G5030,S,59932.0,0.0,+39.9976349,-075.1773448,1067.51554481,59933.1617351,"POLYGON ((2689695.2440387607 252146.06898840153, 2689298.3182950537 252204.83420299838, 2689142.6099187382 252229.08722384914, 2689005.9519557436 252244.0565997485, 2688840.4635833157 252267.29757632967, 2688663.7629487105 252290.57762572353, 2688386.7593594627 252331.71234160525, 2688408.5156662096 252373.89120802813, 2688623.1065469794 252579.8500156138, 2688714.6392163765 252651.3939354901, 2688885.72239557 252811.26248583317, 2688918.7384344283 252842.10788509736, 2689085.4957213365 252823.27771299638, 2689198.67974704 252805.80287577052, 2689222.6005544807 252802.49129932708, 2689379.0712534497 252780.81212639937, 2689586.56401894 252758.7990680285, 2689776.6158560184 252729.35517985345, 2689754.6454158383 252579.29501989388, 2689738.4254320557 252453.09118376338, 2689722.4640069935 252327.62406908406, 2689695.2440387607 252146.06898840153))",0.0,0.0,12880.734089907948,Schuylkill River,3321.1472626180753,1,3321.1472626180753,12880.73408990795,0.4656774102184716,-0.32955433192571937,0.1912216793885116,-0.11349911262402186,80192.89772727272,25163.079545454544,0.2473373519612207,0.047330327590396216,352
G42010100172023,42,101,017202,3,421010172023,Block Group 3,G5030,S,59932.0,0.0,+39.9976349,-075.1773448,1067.51554481,59933.1617351,"POLYGON ((2689695.2440387607 252146.06898840153, 2689298.3182950537 252204.83420299838, 2689142.6099187382 252229.08722384914, 2689005.9519557436 252244.0565997485, 2688840.4635833157 252267.29757632967, 2688663.7629487105 252290.57762572353, 2688386.7593594627 252331.71234160525, 2688408.5156662096 252373.89120802813, 2688623.1065469794 252579.8500156138, 2688714.6392163765 252651.3939354901, 2688885.72239557 252811.26248583317, 2688918.7384344283 252842.10788509736, 2689085.4957213365 252823.27771299638, 2689198.67974704 252805.80287577052, 2689222.6005544807 252802.49129932708, 2689379.0712534497 252780.81212639937, 2689586.56401894 252758.7990680285, 2689776.6158560184 252729.35517985345, 2689754.6454158383 252579.29501989388, 2689738.4254320557 252453.09118376338, 2689722.4640069935 252327.62406908406, 2689695.2440387607 252146.06898840153))",0.0,0.0,12880.734089907948,Schuylkill River,3321.1472626180753,2,3321.1472626180753,12880.734089907948,0.46684503337569827,0.598183242643134,1.58147854422607,-0.4720229650573551,223920.0,117300.0,0.2473373519612207,0.047330327590396425,5
G42010100172023,42,101,017202,3,421010172023,Block Group 3,G5030,S,59932.0,0.0,+39.9976349,-075.1773448,1067.51554481,59933.1617351,"POLYGON ((2689695.2440387607 252146.06898840153, 2689298.3182950537 252204.83420299838, 2689142.6099187382 252229.08722384914, 2689005.9519557436 252244.0565997485, 2688840.4635833157 252267.29757632967, 2688663.7629487105 252290.57762572353, 2688386.7593594627 252331.71234160525, 2688408.5156662096 252373.89120802813, 2688623.1065469794 252579.8500156138, 2688714.6392163765 252651.3939354901, 2688885.72239557 252811.26248583317, 2688918.7384344283 252842.10788509736, 2689085.4957213365 252823.27771299638, 2689198.67974704 252805.80287577052, 2689222.6005544807 252802.49129932708, 2689379.0712534497 252780.81212639937, 2689586.56401894 252758.7990680285, 2689776.6158560184 252729.35517985345, 2689754.6454158383 252579.29501989388, 2689738.4254320557 252453.09118376338, 2689722.4640069935 252327.62406908406, 2689695.2440387607 252146.06898840153))",0.0,0.0,12880.734089907948,Schuylkill River,3321.1472626180753,3,3321.1472626180753,12880.734089907948,0.46684503337569827,2.0402416251501125,1.9643974929137233,3.7919743090284026,336500.0,257500.0,0.2473373519612207,0.047330327590396425,2
G42010100172024,42,101,017202,4,421010172024,Block Group 4,G5030,S,71079.0,0.0,+39.9980722,-075.1722414,1246.76101396,71077.2779502,"POLYGON ((2691118.429215089 252544.39551032224, 2690963.2916921317 252568.28938128497, 2690827.7120411163 252584.7375174701, 2690674.577891086 252607.23376571675, 2690648.7872217256 252453.7813535374, 2690633.422647088 252327.23729948205, 2690613.629753707 252198.74163084457, 2690591.181139207 252026.80073421143, 2690143.0111599774 252083.69175636716, 2690166.4875768647 252258.94224843895, 2690184.3326202356 252387.01606189206, 2690202.1245424454 252516.9107506603, 2690223.1568824574 252670.2239408358, 2690296.753439999 253212.10389235913, 2690456.423697804 253195.99163859637, 2690499.008030333 253187.03048862304, 2690591.2874118844 253175.14717659104, 2690744.375173414 253154.10685492613, 2690814.4357920093 253144.85525942978, 2690907.360667337 253130.07676353608, 2691039.942372094 253110.62550794767, 2691195.7467326103 253092.582936021, 2691118.429215089 252544.39551032224))",0.0,0.0,12526.42662558032,Schuylkill River,5079.565199845035,1,5079.565199845035,12526.42662558032,-0.07765413306270987,-0.3644252389443547,0.04980274947545813,0.13344258636499748,70589.0625,32766.072265625,-0.39336563267339625,0.08713281260851645,512
G42010100172024,42,101,017202,4,421010172024,Block Group 4,G5030,S,71079.0,0.0,+39.9980722,-075.1722414,1246.76101396,71077.2779502,"POLYGON ((2691118.429215089 252544.39551032224, 2690963.2916921317 252568.28938128497, 2690827.7120411163 252584.7375174701, 2690674.577891086 252607.23376571675, 2690648.7872217256 252453.7813535374, 2690633.422647088 252327.23729948205, 2690613.629753707 252198.74163084457, 2690591.181139207 252026.80073421143, 2690143.0111599774 252083.69175636716, 2690166.4875768647 252258.94224843895, 2690184.3326202356 252387.01606189206, 2690202.1245424454 252516.9107506603, 2690223.1568824574 252670.2239408358, 2690296.753439999 253212.10389235913, 2690456.423697804 253195.99163859637, 2690499.008030333 253187.03048862304, 2690591.2874118844 253175.14717659104, 2690744.375173414 253154.10685492613, 2690814.4357920093 253144.85525942978, 2690907.360667337 253130.07676353608, 2691039.942372094 253110.62550794767, 2691195.7467326103 253092.582936021, 2691118.429215089 252544.39551032224))",0.0,0.0,12526.42662558032,Schuylkill River,5079.565199845035,2,5079.565199845035,12526.42662558032,-0.5606633449836743,-0.10118849584193841,0.04980274947545813,1.964546905848792,185800.0,71500.0,-0.39336563267339625,0.08713281260851645,1
G42010100172024,42,101,017202,4,421010172024,Block Group 4,G5030,S,71079.0,0.0,+39.9980722,-075.1722414,1246.76101396,71077.2779502,"POLYGON ((2691118.429215089 252544.39551032224, 2690963.2916921317 252568.28938128497, 2690827.7120411163 252584.7375174701, 2690674.577891086 252607.23376571675, 2690648.7872217256 252453.7813535374, 2690633.422647088 252327.23729948205, 2690613.629753707 252198.74163084457, 2690591.181139207 252026.80073421143, 2690143.0111599774 252083.69175636716, 2690166.4875768647 252258.94224843895, 2690184.3326202356 252387.01606189206, 2690202.1245424454 252516.9107506603, 2690223.1568824574 252670.2239408358, 2690296.753439999 253212.10389235913, 2690456.423697804 253195.99163859637, 2690499.008030333 253187.03048862304, 2690591.2874118844 253175.14717659104, 2690744.375173414 253154.10685492613, 2690814.4357920093 253144.85525942978, 2690907.360667337 253130.07676353608, 2691039.942372094 253110.62550794767, 2691195.7467326103 253092.582936021, 2691118.429215089 252544.39551032224))",0.0,0.0,12526.42662558032,Schuylkill River,5079.565199845035,3,,,-0.04690915580398802,1.2751624189968924,1.0071001211945907,-0.8451539502552143,374500.0,,-0.39336563267339625,0.08713281260851645,0
G42010100173001,42,101,017300,1,421010173001,Block Group 1,G5030,S,101734.0,0.0,+39.9984779,-075.1651515,1278.00459666,101733.235836,"POLYGON ((2692020.4758817335 252417.33991947095, 2692094.48773467 252962.8827734974, 2692171.3628758653 253515.79869887728, 2692398.7114942637 253485.6440917376, 2692510.3990198877 253471.4204760771, 2692619.8994187973 253455.311219249, 2692763.1223818045 253436.1811197364, 2692894.229312678 253419.24810248168, 2693147.588897439 253381.480118622, 2693127.3839512574 253229.2817356519, 2693074.828993469 252832.32546724493, 2693000.072154357 252284.20620440837, 2692819.01683697 252312.43134565334, 2692651.315996722 252334.48911560382, 2692501.032284004 252355.2353221352, 2692469.6877674162 252353.58868953292, 2692247.575036501 252386.44758497254, 2692020.4758817335 252417.33991947095))",0.0,0.0,12443.852907149387,Schuylkill River,6898.79720313933,1,6898.79720313933,12443.852907149385,-0.3713495250936251,-0.24831594186902142,0.12814933744224102,0.13711950266918183,90148.33759590793,32807.02046035806,-1.056227031876142,0.09640904729630326,391
G42010100173001,42,101,017300,1,421010173001,Block Group 1,G5030,S,101734.0,0.0,+39.9984779,-075.1651515,1278.00459666,101733.235836,"POLYGON ((2692020.4758817335 252417.33991947095, 2692094.48773467 252962.8827734974, 2692171.3628758653 253515.79869887728, 2692398.7114942637 253485.6440917376, 2692510.3990198877 253471.4204760771, 2692619.8994187973 253455.311219249, 2692763.1223818045 253436.1811197364, 2692894.229312678 253419.24810248168, 2693147.588897439 253381.480118622, 2693127.3839512574 253229.2817356519, 2693074.828993469 252832.32546724493, 2693000.072154357 252284.20620440837, 2692819.01683697 252312.43134565334, 2692651.315996722 252334.48911560382, 2692501.032284004 252355.2353221352, 2692469.6877674162 252353.58868953292, 2692247.575036501 252386.44758497254, 2692020.4758817335 252417.33991947095))",0.0,0.0,12443.852907149387,Schuylkill River,6898.79720313933,2,6898.79720313933,12443.852907149387,-0.6942394341703927,0.15751345302361833,0.5284514353350245,1.0508332042589872,200150.0,95425.0,-1.056227031876142,0.09640904729630305,8
G42010100173001,42,101,017300,1,421010173001,Block Group 1,G5030,S,101734.0,0.0,+39.9984779,-075.1651515,1278.00459666,101733.235836,"POLYGON ((2692020.4758817335 252417.33991947095, 2692094.48773467 252962.8827734974, 2692171.3628758653 253515.79869887728, 2692398.7114942637 253485.6440917376, 2692510.3990198877 253471.4204760771, 2692619.8994187973 253455.311219249, 2692763.1223818045 253436.1811197364, 2692894.229312678 253419.24810248168, 2693147.588897439 253381.480118622, 2693127.3839512574 253229.2817356519, 2693074.828993469 252832.32546724493, 2693000.072154357 252284.20620440837, 2692819.01683697 252312.43134565334, 2692651.315996722 252334.48911560382, 2692501.032284004 252355.2353221352, 2692469.6877674162 252353.58868953292, 2692247.575036501 252386.44758497254, 2692020.4758817335 252417.33991947095))",0.0,0.0,12443.852907149387,Schuylkill River,6898.79720313933,3,6898.79720313933,12443.852907149387,-0.5606633449836743,1.9602277983425143,1.9643974929137233,,445100.0,154406.0,-1.056227031876142,0.09640904729630305,2
